status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account below 0 DM,6,critical account or other credits existing,radio or television,1169,unknown or no savings account,employed 7 years or more,4,male single,none,4,real estate,67,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,48,existing credits paid back duly till now,radio or television,5951,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,real estate,22,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,12,critical account or other credits existing,education,2096,savings below 100 DM,employed between 4 and 7 years,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,no telephone,yes,good credit
checking account below 0 DM,42,existing credits paid back duly till now,furniture or equipment,7882,savings below 100 DM,employed between 4 and 7 years,2,male single,guarantor,4,building society savings agreement or life insurance,45,none,for free,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,24,delay in paying off in the past,car (new),4870,savings below 100 DM,employed between 1 and 4 years,3,male single,none,4,unknown or no property,53,none,for free,2,skilled employee or official,2,no telephone,yes,bad credit
no checking account,36,existing credits paid back duly till now,education,9055,unknown or no savings account,employed between 1 and 4 years,2,male single,none,4,unknown or no property,35,none,for free,1,unskilled resident,2,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,furniture or equipment,2835,savings between 500 and 1000 DM,employed 7 years or more,3,male single,none,4,building society savings agreement or life insurance,53,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,car (used),6948,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,35,none,rent,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,radio or television,3059,savings above 1000 DM,employed between 4 and 7 years,2,male divorced or separated,none,4,real estate,61,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,30,critical account or other credits existing,car (new),5234,savings below 100 DM,unemployed,4,male married or widowed,none,2,car or other property,28,none,own,2,"management, self-employed, or highly qualified",1,no telephone,yes,bad credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),1295,savings below 100 DM,employed less than 1 year,3,"female divorced, separated, or married",none,1,car or other property,25,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,48,existing credits paid back duly till now,business,4308,savings below 100 DM,employed less than 1 year,3,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,24,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
